student,statfuture,year
201947,7,2019
201948,7,2019
201949,7,2019
201950,7,2019
201951,7,2019
201952,6,2019
201953,7,2019
201954,7,2019
201955,7,2019
201956,6,2019
201957,6,2019
201958,7,2019
201959,7,2019
201960,7,2019
201961,6,2019
202001,7,2020
202002,6,2020
202003,7,2020
202004,7,2020
202005,7,2020
202006,6,2020
202007,7,2020
202008,7,2020
202009,6,2020
202010,6,2020
202011,5,2020
202012,6,2020
202013,6,2020
202014,5,2020
202015,5,2020
202016,7,2020
202017,6,2020
202018,6,2020
202019,7,2020
202020,7,2020
202021,6,2020
202022,7,2020
202023,6,2020
202024,7,2020
202025,6,2020
202026,6,2020
202027,6,2020
202028,6,2020
202029,7,2020
202030,7,2020
202031,7,2020
202032,5,2020
202033,6,2020
202034,6,2020
202035,5,2020
202036,6,2020
202037,6,2020
202038,5,2020
202039,6,2020
202040,4,2020
202041,7,2020
202042,6,2020
202043,6,2020
202044,7,2020
202045,7,2020
202046,7,2020
202047,6,2020
202048,6,2020
202049,7,2020
202050,6,2020
202051,7,2020
202052,7,2020
202053,7,2020
202054,6,2020
202055,7,2020
202056,7,2020
202057,6,2020
202058,6,2020
202059,7,2020
202060,6,2020
202061,4,2020
202062,5,2020
202063,7,2020
202064,5,2020
202065,7,2020
202066,5,2020
202067,7,2020
202101,7,2021
202102,6,2021
202103,6,2021
202104,NA,2021
202105,NA,2021
202106,6,2021
202107,7,2021
202108,7,2021
202109,7,2021
202110,7,2021
202111,6,2021
202112,7,2021
202113,6,2021
202114,5,2021
202115,NA,2021
202116,7,2021
202117,7,2021
202118,7,2021
202119,6,2021
202120,7,2021
202121,7,2021
202122,6,2021
202123,7,2021
202124,7,2021
202125,6,2021
202126,7,2021
202127,6,2021
202128,7,2021
202129,6,2021
202130,7,2021
202131,7,2021
202132,7,2021
202133,7,2021
202134,6,2021
202135,7,2021
202136,6,2021
202137,5,2021
202138,5,2021
202139,6,2021
202140,7,2021
202141,5,2021
202142,6,2021
202143,6,2021
202144,6,2021
202145,5,2021
202146,5,2021
202147,7,2021
202148,7,2021
202149,6,2021
202150,7,2021
202151,5,2021
202152,5,2021
202153,7,2021
202154,7,2021
202155,7,2021
202156,7,2021
202157,NA,2021
202158,6,2021
